# anchorsX, anchorsY
1.331470299999999952e+04,1.108611572129800937e-01
1.331623300000001291e+04,1.082903452772066011e-01
1.331715100000001985e+04,1.084418954551793352e-01
1.331878300000003219e+04,1.077287609923391898e-01
1.332612700000008772e+04,1.065669704176073346e-01
1.332735100000009515e+04,1.073429234337894556e-01
1.332857500000010623e+04,1.057175853695266343e-01
1.333061500000012165e+04,1.065977575819591072e-01
1.333092100000012397e+04,1.065719312822472342e-01
1.333153300000012860e+04,1.060918888435452567e-01
1.333306300000014016e+04,1.054883323974175335e-01
1.333438900000015019e+04,1.053337172039821024e-01
1.333540900000015790e+04,1.051113724977890129e-01
1.333683700000016870e+04,1.067840770609009421e-01
1.333714300000017283e+04,1.068330710556678609e-01
1.333765300000017669e+04,1.068025231121118301e-01
1.333969300000019030e+04,1.055034644374809039e-01
1.334152900000020418e+04,1.049051362074731875e-01
1.334254900000021189e+04,1.050243517444800351e-01
1.334479300000022886e+04,1.045934682563583462e-01
1.334540500000023167e+04,1.043625665328765245e-01
1.334673100000024351e+04,1.027778028750058192e-01
1.334775100000025122e+04,1.023298580205619646e-01
1.334795500000025277e+04,1.023298580205619646e-01
1.334968900000026588e+04,1.031802154974004737e-01
1.335172900000027948e+04,1.028974604252543834e-01
1.335305500000029133e+04,1.029511651776403580e-01
1.335356500000029519e+04,1.029029965446350559e-01
1.335478900000030444e+04,1.030921023034806205e-01
1.335693100000032064e+04,1.025001870805009457e-01
1.335897100000033606e+04,1.017455073303438207e-01
1.335917500000033760e+04,1.017455073303438207e-01
1.336162300000035611e+04,1.018912753222259299e-01
1.336243900000036228e+04,1.017077586727333505e-01
1.336356100000037077e+04,1.014867922800637007e-01
1.336519300000038311e+04,1.013305458360315575e-01
1.336672300000039650e+04,1.014502306685125671e-01
1.336794700000040393e+04,1.017947627664617938e-01
1.336927300000041396e+04,1.022157919969363671e-01
1.337029300000042167e+04,1.025490837410209383e-01
1.337161900000043170e+04,1.016815810000502862e-01
1.337263900000043941e+04,1.004696760001614897e-01
1.337518900000046051e+04,1.006309879163578280e-01
1.337712700000047153e+04,1.019101672843197304e-01
1.337886100000048646e+04,1.021690458300544557e-01
1.338039100000049802e+04,1.014601875408412124e-01
1.338151300000050833e+04,1.019209022865057435e-01
1.338345100000051934e+04,1.015502570645820113e-01
1.338447100000052887e+04,1.020545394446947252e-01
1.338508300000053350e+04,1.015226139652500997e-01
1.338610300000053940e+04,1.004466114686159567e-01
1.338732700000055047e+04,1.011417843146844575e-01
1.338753100000055201e+04,1.011417843146844575e-01
1.338875500000055945e+04,1.027348348768055419e-01
1.339181500000058440e+04,1.011063571023638197e-01
1.339232500000058826e+04,1.010468148195044907e-01
1.339467100000060600e+04,9.857831490644114458e-02
1.339732300000062605e+04,1.011946059146641708e-01
1.339773100000062914e+04,1.011932385485173891e-01
1.339885300000063762e+04,1.012700683465034002e-01
1.339966900000064379e+04,1.004468883149422509e-01
1.340160700000065845e+04,9.959627568390347352e-02
1.340303500000066924e+04,1.025987182517324320e-01
1.340405500000067514e+04,1.007934385054876369e-01
1.340476900000068235e+04,1.000189123297490490e-01
1.340650300000069547e+04,1.001199102250846795e-01
1.340731900000070164e+04,1.003517332272755858e-01
1.340895100000071398e+04,1.004205609685157874e-01
1.340966500000071937e+04,1.003881804990794380e-01
1.341068500000072891e+04,1.004711175399642942e-01
1.341119500000073276e+04,1.006368709382117199e-01
1.341221500000074047e+04,9.989011372678997802e-02
1.341374500000075022e+04,9.924223555344266479e-02
1.341527500000076179e+04,1.004906451285976221e-01
1.341598900000076719e+04,1.005911303789736450e-01
1.341629500000076951e+04,1.005911303789736450e-01
1.341772300000078030e+04,9.934937219297099165e-02
1.342006900000079804e+04,9.949342748316775120e-02
1.342149700000080884e+04,9.875427412517800985e-02
1.342241500000081578e+04,9.942176317139247987e-02
1.342414900000082889e+04,9.942781540582562583e-02
1.342527100000083556e+04,1.006958498731918145e-01
1.342608700000084355e+04,1.009814249644309658e-01
1.342680100000084713e+04,1.006704237622942644e-01
1.342873900000086360e+04,1.004076292752064392e-01
1.342965700000087054e+04,1.005246881777043522e-01
1.342996300000087285e+04,1.005246881777043522e-01
1.343108500000087952e+04,1.005676570083752219e-01
1.343210500000088723e+04,1.005917803621356188e-01
1.343241100000089136e+04,1.005917803621356188e-01
1.343434900000090602e+04,1.010398081076596677e-01
1.343526700000091114e+04,1.006177253526392978e-01
1.343740900000092915e+04,1.013739245717683451e-01
1.343781700000093224e+04,1.018423045154391304e-01
1.343812300000093637e+04,1.018423045154391304e-01
1.344016300000094998e+04,1.003670202066490463e-01
